5.39 	0.00	0.76 	-3.34	200.72 	18.42	-0.97	0.00
5.40 	0.00	0.86 	-2.44	218.41 	28.43	-0.03	0.00
5.45 	0.00	0.81 	-2.21	177.17 	11.10	-2.09	0.00
5.43 	0.00	0.76 	-1.68	225.97 	25.26	0.45	0.00
5.41 	0.00	0.62 	-1.25	208.77 	-9.64	-0.43	0.00
5.48 	0.00	0.91 	-0.77	203.89 	26.72	-0.65	0.00
5.46 	0.00	0.62 	-0.65	201.33 	-24.65	-0.75	0.00
5.44 	0.00	0.52 	-0.54	224.87 	16.11	0.47	0.00
5.42 	0.00	0.76 	-0.27	197.18 	-6.71	-0.94	0.00
5.44 	0.00	0.91 	-0.11	219.99 	18.67	0.25	0.00
5.41 	0.00	0.52 	-0.20	197.42 	-27.45	-0.90	0.00
5.48 	0.00	0.91 	-0.03	213.28 	16.11	-0.06	0.00
5.45 	0.00	0.67 	0.01	208.04 	-11.96	-0.32	0.00
5.41 	0.00	0.91 	0.00	183.88 	-13.54	-1.51	0.00
5.50 	0.01	0.86 	0.12	165.45 	-47.83	-2.36	0.00
5.47 	0.00	0.52 	0.06	189.86 	-18.18	-1.02	0.00
5.44 	0.00	0.67 	-0.02	209.87 	25.99	0.03	0.00
5.42 	0.00	0.62 	-0.15	201.69 	36.24	-0.38	0.00
5.45 	0.00	0.67 	0.00	224.14 	34.29	0.77	0.00
5.40 	0.00	0.47 	-0.22	212.31 	2.44	0.14	0.00
5.44 	0.00	0.62 	-0.13	215.97 	14.28	0.31	0.00
5.46 	0.00	0.67 	-0.19	247.57 	23.43	1.88	0.00
5.42 	0.00	0.81 	-0.12	198.28 	-14.03	-0.68	0.00
5.46 	0.00	0.67 	0.01	194.86 	-21.11	-0.82	0.00
5.42 	0.00	0.81 	0.08	101.15 	-146.41	-5.46	0.00
5.44 	0.00	0.86 	0.16	159.35 	-38.92	-2.28	0.00
5.43 	0.00	0.38 	-0.06	144.47 	-50.39	-2.91	0.00
5.48 	0.00	0.52 	-0.01	202.79 	101.64	0.15	0.00
5.43 	0.00	0.52 	-0.05	161.67 	2.32	-1.91	0.00
5.48 	0.00	0.81 	0.05	174.48 	30.01	-1.18	0.00
5.41 	0.00	0.72 	-0.03	146.91 	-55.88	-2.50	0.00
5.47 	0.00	0.62 	-0.04	156.79 	-4.88	-1.88	0.00
5.43 	0.00	0.67 	-0.09	174.24 	-0.24	-0.91	0.00
5.45 	0.00	0.38 	-0.29	171.92 	25.01	-0.98	0.00
5.41 	0.00	0.52 	-0.07	194.25 	37.46	0.18	0.00
5.43 	0.00	0.86 	0.13	210.35 	36.12	0.98	0.00
5.45 	0.00	0.72 	0.16	215.48 	43.56	1.19	0.00
5.39 	0.00	0.67 	0.01	185.10 	-9.15	-0.39	0.00
5.43 	0.00	0.72 	0.00	218.53 	8.17	1.30	0.00
5.41 	0.00	0.62 	0.00	231.95 	16.47	1.91	0.00
5.49 	0.01	0.57 	-0.05	208.40 	23.30	0.63	0.00
5.43 	0.00	0.38 	-0.02	193.88 	-24.65	-0.12	0.00
5.50 	0.01	0.67 	0.06	214.62 	-17.33	0.92	0.00
5.47 	0.00	0.67 	-0.07	209.38 	0.98	0.61	0.00
5.42 	0.00	0.72 	-0.03	181.07 	-12.81	-0.84	0.00
5.51 	0.01	0.47 	-0.11	192.91 	-21.72	-0.20	0.00
5.47 	0.00	0.81 	-0.01	195.35 	-14.03	-0.07	0.00
5.43 	0.00	0.81 	0.09	168.26 	-12.81	-1.42	0.00
5.45 	0.00	0.81 	0.17	185.22 	-7.69	-0.50	0.00
5.39 	-0.01	0.96 	0.37	188.39 	-6.96	-0.32	0.00
5.46 	0.00	0.81 	0.26	189.73 	21.47	-0.23	0.00
5.41 	0.00	0.76 	0.18	212.67 	27.45	0.92	0.00
5.44 	0.00	0.76 	0.11	190.71 	2.32	-0.22	0.00
5.51 	0.01	0.86 	0.25	212.06 	22.33	0.86	0.00
5.46 	0.00	0.67 	0.05	183.51 	-29.16	-0.61	0.00
5.41 	0.00	0.91 	0.07	203.52 	12.81	0.42	0.00
5.44 	0.00	0.72 	-0.01	209.74 	-2.32	0.71	0.00
5.43 	0.00	0.67 	-0.15	190.59 	7.08	-0.28	0.00
5.48 	0.00	0.96 	0.00	208.64 	5.12	0.63	0.00
5.44 	0.00	0.86 	0.05	214.38 	4.64	0.89	0.00
5.48 	0.00	0.91 	0.10	186.07 	-4.51	-0.57	0.00
5.43 	0.00	1.00 	0.12	209.50 	0.85	0.63	0.00
5.49 	0.00	0.76 	0.11	209.26 	-5.12	0.58	0.00
5.43 	0.00	0.96 	0.08	185.71 	-0.37	-0.62	0.00
5.49 	0.00	0.91 	0.13	177.17 	-32.33	-1.02	0.00
5.45 	0.00	1.00 	0.24	192.17 	-17.08	-0.22	0.00
5.50 	0.00	0.86 	0.07	183.75 	-1.95	-0.63	0.00
5.47 	0.00	0.52 	-0.13	208.77 	31.60	0.66	0.00
5.43 	0.00	0.91 	-0.07	200.71 	8.54	0.22	0.00
5.47 	0.00	0.91 	-0.08	165.58 	-18.18	-1.55	0.00
5.42 	0.00	1.10 	0.13	158.01 	-50.76	-1.85	0.00
5.45 	0.00	1.05 	0.11	193.15 	-7.57	0.00	0.00
5.42 	0.00	1.15 	0.18	203.76 	38.19	0.53	0.00
5.40 	-0.01	0.76 	-0.03	204.37 	46.36	0.54	0.00
5.51 	0.01	1.10 	0.10	221.09 	27.94	1.34	0.00
5.46 	0.00	0.86 	0.22	185.22 	-18.55	-0.52	0.00
5.41 	0.00	0.86 	0.09	169.48 	-34.90	-1.28	0.00
5.48 	0.00	0.96 	0.07	197.42 	-23.67	0.18	0.00
5.42 	0.00	0.86 	-0.09	209.50 	24.28	0.78	0.00
5.51 	0.01	0.76 	-0.19	221.58 	52.10	1.34	0.00
5.46 	0.00	0.91 	-0.21	203.15 	5.73	0.35	0.00
5.42 	0.00	0.76 	-0.11	200.59 	-8.91	0.21	0.00
5.45 	0.00	1.05 	-0.08	217.43 	-4.15	1.04	0.00
5.44 	0.00	1.00 	0.03	216.33 	13.18	0.93	0.00
5.50 	0.00	1.34 	0.26	270.75 	70.16	3.61	0.00
5.44 	0.00	1.00 	0.15	243.91 	26.48	2.08	0.00
5.49 	0.00	1.00 	0.15	241.83 	25.50	1.88	0.00
5.43 	0.00	1.15 	0.27	241.71 	-29.04	1.78	0.00
5.51 	0.01	1.10 	0.23	229.75 	-14.15	1.09	0.00
5.47 	0.00	1.10 	0.28	207.18 	-34.65	-0.09	0.00
5.43 	0.00	1.05 	0.14	228.78 	-12.93	0.99	0.00
5.50 	0.00	0.91 	0.02	221.21 	-8.54	0.56	0.00
5.45 	0.00	0.86 	-0.23	221.46 	14.28	0.55	0.00
5.41 	-0.01	0.86 	-0.19	220.60 	-8.18	0.48	0.00
5.49 	0.00	0.91 	-0.14	185.95 	-35.26	-1.28	0.00
5.44 	0.00	0.86 	-0.22	207.18 	-14.28	-0.15	0.00
5.40 	-0.01	0.91 	-0.20	205.23 	-15.37	-0.24	0.00
5.48 	0.00	0.86 	-0.22	197.05 	11.10	-0.64	0.00
5.44 	0.00	0.91 	-0.18	188.76 	-18.42	-1.02	0.00
5.52 	0.01	0.96 	-0.07	217.80 	12.57	0.48	0.00
5.48 	0.00	1.15 	0.11	223.16 	26.11	0.72	0.00
5.44 	0.00	1.05 	0.15	215.84 	27.09	0.32	0.00
5.41 	-0.01	1.05 	0.15	171.92 	-45.88	-1.89	0.00
5.45 	0.00	0.91 	0.10	213.40 	-9.76	0.28	0.00
5.42 	0.00	0.86 	0.02	194.25 	-21.60	-0.69	0.00
5.45 	0.00	0.76 	-0.04	238.90 	66.99	1.57	0.00
5.49 	0.00	0.91 	-0.02	205.11 	-8.30	-0.19	0.00
5.44 	0.00	0.72 	-0.13	196.81 	2.56	-0.60	0.00
5.50 	0.00	0.72 	-0.28	211.21 	-27.70	0.15	0.00
5.44 	0.00	1.00 	-0.16	183.88 	-21.23	-1.22	0.00
5.44 	0.00	1.10 	-0.06	196.32 	-0.49	-0.54	0.00
5.48 	0.00	1.20 	0.12	167.04 	-44.17	-1.98	0.00
5.43 	0.00	0.86 	0.06	214.87 	30.99	0.51	0.00
5.43 	0.00	0.96 	0.12	201.08 	4.76	-0.20	0.00
5.48 	0.00	1.05 	0.13	183.27 	16.23	-1.08	0.00
5.44 	0.00	1.00 	0.21	181.80 	-33.07	-1.10	0.00
5.42 	0.00	1.10 	0.30	183.51 	-17.57	-0.96	0.00
5.47 	0.00	1.00 	0.15	186.80 	3.54	-0.75	0.00
5.41 	0.00	1.00 	0.03	166.79 	-15.01	-1.71	0.00
5.46 	0.00	0.72 	-0.23	196.56 	13.06	-0.14	0.00
5.40 	0.00	1.05 	-0.02	173.02 	-13.79	-1.31	0.00
5.50 	0.01	0.96 	-0.01	177.29 	10.49	-1.03	0.00
